genres	avg. votes	avg. rating	avg. runtime
Action,Horror,Sci-Fi	23763	4.6	91.0
Action,Horror,Sport	329	5.1	78.0
Action,Horror,Thriller	4814	4.6	91.0
Action,Horror,War	7507	5.0	90.0
Action,Horror,Western	530	4.2	90.0
Action,Music	98	6.1	88.0
Action,Music,Romance	44	6.1	62.0
Action,Music,Sci-Fi	167	4.4	75.0
Action,Music,Western	64	4.6	67.0
Action,Musical	426	6.1	106.0
Action,Musical,Mystery	8511	7.1	157.0
Action,Musical,Romance	1470	6.4	140.0
Action,Musical,Sci-Fi	12	6.8	126.0
Action,Musical,Thriller	147	5.5	103.0
Action,Musical,War	199	6.6	121.0
Action,Musical,Western	15	6.8	76.0
Action,Mystery	150	6.0	93.0
Action,Mystery,Romance	1679	5.1	89.0
Action,Mystery,Sci-Fi	58344	5.3	92.0
Action,Mystery,Thriller	37518	5.9	104.0
Action,Mystery,Western	54	4.6	114.0
Action,Romance	402	5.9	125.0
Action,Romance,Sci-Fi	1527	5.0	106.0
Action,Romance,Sport	365	4.8	86.0
Action,Romance,Thriller	1412	5.7	121.0
Action,Romance,War	540	6.1	109.0
Action,Romance,Western	281	5.7	68.0
Action,Sci-Fi	28617	4.6	91.0
Action,Sci-Fi,Sport	14528	4.9	104.0
Action,Sci-Fi,Thriller	28077	4.8	96.0
Action,Sci-Fi,War	295	3.8	81.0
Action,Sci-Fi,Western	164	4.5	86.0
Action,Sport	877	5.9	109.0
Action,Sport,Thriller	9437	6.2	93.0
Action,Sport,War	37	5.5	
Action,Thriller	7904	5.4	103.0
Action,Thriller,War	2740	4.9	95.0
Action,Thriller,Western	21419	6.3	93.0
Action,War	1560	5.4	96.0
Action,War,Western	17	5.2	50.0
Action,Western	1059	5.5	94.0
Adventure	90	5.8	88.0
Adventure,Animation	121	5.8	73.0
Adventure,Animation,Biography	226	6.5	84.0
Adventure,Animation,Comedy	38816	6.2	79.0
Adventure,Animation,Crime	1518	7.1	89.0
Adventure,Animation,Documentary	304	7.1	77.0
Adventure,Animation,Drama	28294	6.8	88.0
Adventure,Animation,Family	10287	6.1	75.0
Adventure,Animation,Fantasy	2059	6.3	85.0
Adventure,Animation,History	112	5.7	75.0
Adventure,Animation,Horror	893	6.1	103.0
Adventure,Animation,Music	15637	7.8	47.0
Adventure,Animation,Musical	216	5.9	77.0
Adventure,Animation,Romance	200	4.9	83.0
Adventure,Animation,Sci-Fi	8257	6.1	90.0
Adventure,Animation,Western	226	6.4	95.0
Adventure,Biography	141	6.2	86.0
Adventure,Biography,Comedy	9712	6.6	96.0
Adventure,Biography,Crime	10958	6.8	99.0
Adventure,Biography,Documentary	252	7.3	77.0
Adventure,Biography,Drama	19338	6.5	116.0
Adventure,Biography,Family	286	5.9	95.0
Adventure,Biography,History	541	6.1	100.0
Adventure,Biography,Romance	550	5.9	95.0
Adventure,Biography,War	37416	6.2	106.0
Adventure,Biography,Western	998	5.2	83.0
Adventure,Comedy	3264	5.6	90.0
Adventure,Comedy,Crime	11457	5.8	93.0
Adventure,Comedy,Documentary	98	7.1	81.0
Adventure,Comedy,Drama	10159	6.3	95.0
Adventure,Comedy,Family	14986	5.7	91.0
Adventure,Comedy,Fantasy	11269	5.8	93.0
Adventure,Comedy,Film-Noir	38163	7.8	100.0
Adventure,Comedy,History	2218	6.3	102.0
Adventure,Comedy,Horror	897	4.9	84.0
Adventure,Comedy,Music	11347	5.9	78.0
Adventure,Comedy,Musical	4099	6.4	93.0
Adventure,Comedy,Mystery	2880	6.0	82.0
Adventure,Comedy,Reality-TV	215	8.2	120.0
Adventure,Comedy,Romance	1362	5.8	87.0
Adventure,Comedy,Sci-Fi	47690	6.0	91.0
Adventure,Comedy,Sport	4530	5.6	84.0
Adventure,Comedy,Thriller	461	5.9	92.0
Adventure,Comedy,War	5070	6.2	108.0
Adventure,Comedy,Western	1250	5.7	89.0
Adventure,Crime	164	5.4	92.0
Adventure,Crime,Documentary	76	7.2	79.0
Adventure,Crime,Drama	2167	5.9	87.0
Adventure,Crime,Family	312	6.2	91.0
Adventure,Crime,Fantasy	271	5.4	102.0
Adventure,Crime,Film-Noir	3975	6.9	81.0
